date time x_m y_m elev nan error_x error_y error_z name nan
20221129 12305700 -134.020 233.324 4.007 0.0 0.00 0.00 0.06 1 0
20221127 6412300 -141.130 66.428 3.699 0.0 0.00 0.00 0.08 2 0
20221125 14175100 -368.510 177.703 3.807 0.0 0.02 0.01 0.19 3 0
20221205 8052900 -148.238 10.796 3.655 0.0 0.00 0.00 0.03 4 0
20221129 13161000 -155.344 -11.456 3.523 0.0 0.02 0.03 0.41 5 0
20221126 22164600 -247.722 -11.453 3.709 0.0 0.00 0.00 0.04 6 0
20221125 16035800 -55.860 122.059 3.763 0.0 0.01 0.01 0.34 7 0
20221128 21284200 -347.198 88.690 3.748 0.0 0.00 0.00 0.06 8 0
20221128 22533000 -226.398 133.189 3.680 0.0 0.01 0.01 0.30 9 0
20221201 4171600 -176.657 155.440 4.148 0.0 0.01 0.01 0.31 11 0
20221128 8552400 -297.461 33.055 3.650 0.0 0.00 0.00 0.08 12 0
20221125 19215000 -1143.249 -834.688 1.492 0.0 0.30 1.02 0.21 13 0
20221127 7004600 -226.396 177.695 3.523 0.0 0.01 0.01 0.31 14 0
20221128 13161800 -20.331 144.311 3.826 0.0 0.01 0.02 0.31 15 0
20221127 12475300 -261.923 211.076 3.934 0.0 0.01 0.00 0.11 16 0
20221130 8283300 -205.087 -44.834 3.807 0.0 0.01 0.01 0.34 17 0
20221128 20501200 -254.826 21.927 3.694 0.0 0.00 0.00 0.09 18 0
20221128 21423800 -62.964 255.575 4.017 0.0 0.01 0.01 0.27 19 0
20221125 15110100 -240.608 155.443 3.694 0.0 0.01 0.01 0.27 20 0
20221125 16192100 -119.812 122.060 3.724 0.0 0.00 0.00 0.16 21 0
20221128 20503300 -261.931 44.180 3.665 0.0 0.01 0.01 0.30 22 0
20221126 23035700 128.889 177.692 4.007 0.0 0.01 0.00 0.15 23 0
20221129 14195000 -318.777 55.309 4.046 0.0 0.00 0.00 0.02 24 0
20221128 1595200 -155.338 188.819 3.738 0.0 0.01 0.01 0.33 25 0
20221129 6063400 -411.151 88.695 3.909 0.0 0.01 0.00 0.14 26 0
20221125 14141900 -233.504 122.063 3.729 0.0 0.01 0.01 0.14 27 0
20221127 7224800 -155.343 21.923 3.436 0.0 0.01 0.02 0.36 28 0
20221127 11213800 -340.093 77.564 3.699 0.0 0.00 0.00 0.07 29 0
20221127 574000 -205.083 55.304 3.831 0.0 0.01 0.01 0.26 30 0
20221126 21515200 -205.081 122.062 3.724 0.0 0.01 0.01 0.27 31 0
20221126 17013300 -48.753 222.196 3.870 0.0 0.01 0.01 0.41 33 0
20221125 15493700 -176.657 133.188 3.714 0.0 0.00 0.00 0.08 34 0
20221125 15432800 -105.601 88.680 3.592 0.0 0.00 0.00 0.26 35 0
20221127 17361900 -318.776 77.562 3.499 0.0 0.00 0.00 0.12 36 0
20221127 5204300 -276.141 77.560 3.768 0.0 0.00 0.00 0.16 37 0
20221129 3104800 -183.770 -55.961 4.119 0.0 0.02 0.02 0.35 38 0
20221126 16274300 -126.918 110.933 3.733 0.0 0.01 0.00 0.36 39 0
20221125 15425800 -141.131 44.175 3.611 0.0 0.01 0.03 0.42 40 0
20221129 21082200 79.152 -0.332 3.787 0.0 0.05 0.03 0.37 41 0
20221127 1293800 -112.705 144.312 3.611 0.0 0.01 0.01 0.30 42 0
20221127 23025900 -141.125 255.577 4.095 0.0 0.00 0.00 0.02 43 0
20221127 5102300 -254.828 -22.579 3.758 0.0 0.01 0.01 0.37 44 0
20221129 16252200 57.832 177.691 3.611 0.0 0.01 0.01 0.30 45 0
20221125 17074100 0.985 44.173 3.826 0.0 0.01 0.01 0.29 46 0
20221127 13373600 -148.233 166.566 3.724 0.0 0.01 0.00 0.29 47 0
20221128 21192600 -233.501 188.822 4.100 0.0 0.00 0.00 0.06 48 0
20221128 13364900 -119.813 77.554 3.655 0.0 0.01 0.01 0.33 49 0
20221125 15450000 -91.389 88.680 3.807 0.0 0.00 0.00 0.10 50 0
20221127 13275700 -354.305 77.564 3.782 0.0 0.00 0.00 0.02 51 0
20221127 391300 -105.598 233.323 3.729 0.0 0.03 0.03 0.54 52 0
20221205 8052900 -148.238 10.796 3.655 0.0 0.00 0.00 0.03 53 0
20221128 3312600 -190.863 288.958 3.787 0.0 0.02 0.01 0.33 54 0
20221129 23080200 29.410 21.921 3.860 0.0 0.00 0.00 0.03 55 0
20221201 2182400 -91.390 55.301 3.841 0.0 0.00 0.00 0.02 56 0
20221129 20552100 -240.607 177.696 3.865 0.0 0.01 0.00 0.13 58 0
20221129 2344600 -84.284 10.795 3.826 0.0 0.05 0.06 0.24 59 0
20221125 21234800 15.198 155.437 3.909 0.0 0.00 0.00 0.08 60 0
20221129 5131100 -261.930 55.306 3.699 0.0 0.01 0.01 0.25 61 0
