name,lat,lon,elev,x_m,y_m
A101T,50.394600,-4.750200,175.490000,-780.318151,2358.524613
A104,50.393140,-4.749170,169.500000,-707.181368,2196.068542
A105,50.393180,-4.751390,160.600000,-864.866899,2200.542539
A106T,50.388000,-4.755550,168.300000,-1160.477207,1624.250561
A109T,50.385680,-4.760000,192.600000,-1476.666211,1366.196507
A112T,50.383620,-4.758370,192.090000,-1360.928356,1136.961375
A115T,50.382630,-4.754570,167.700000,-1090.983627,1026.747373
A115,50.382620,-4.754600,170.700000,-1093.115226,1025.635173
A118T,50.382790,-4.749830,178.200000,-754.225226,1044.490922
A121T,50.386520,-4.750500,173.790000,-801.762686,1459.513099
A124T,50.386010,-4.756800,169.890000,-1249.326391,1402.855120
A127,50.385350,-4.756620,166.100000,-1236.556261,1329.417788
A128T,50.384500,-4.755930,169.290000,-1187.558869,1234.832054
A131T,50.384480,-4.753410,176.800000,-1008.531570,1232.569628
A134,50.385940,-4.752780,181.300000,-963.745033,1395.006914
B101,50.382660,-4.730120,174.600000,646.079481,1030.012281
B102,50.381380,-4.730090,173.900000,648.228301,887.594509
B103,50.379850,-4.724370,158.200000,1054.653406,717.425859
B104S,50.377920,-4.720290,155.000000,1344.590716,502.751949
B105,50.376620,-4.713200,141.290000,1848.403976,358.260668
B106S,50.374580,-4.714860,81.600000,1730.527693,131.242223
B107,50.372080,-4.717950,137.490000,1511.039223,-146.984949
B108,50.374350,-4.725170,131.690000,997.929033,105.462688
B109,50.377870,-4.727920,148.100000,802.460396,497.078788
B110,50.380120,-4.731150,125.800000,572.933219,747.393082
B111,50.380800,-4.734060,142.090000,366.174543,823.034308
B112,50.382220,-4.734580,141.200000,329.219610,981.026884
B113,50.382090,-4.731700,177.600000,533.834005,966.579232
B114,50.380940,-4.726520,164.500000,901.875897,838.675456
B115,50.378860,-4.722360,160.500000,1197.488215,607.304828
B116,50.376640,-4.717000,180.000000,1578.396154,360.398543
B117,50.374590,-4.717880,95.400000,1515.933537,132.289054
B118,50.375620,-4.720700,119.800000,1315.522763,246.837379
B119,50.377460,-4.722380,111.800000,1196.102398,451.534852
B120S,50.379860,-4.727010,123.900000,867.082030,718.504444
B121,50.376360,-4.725660,143.100000,963.069954,329.096888
B122,50.375510,-4.724820,130.590000,1022.774353,234.533673
B123,50.374360,-4.725170,130.100000,997.928821,106.575327
B124,50.374370,-4.725170,130.600000,997.928607,107.687967
B127S,50.380140,-4.731180,132.600000,570.801496,749.618134
B128,50.381160,-4.734810,128.400000,312.885969,863.085962
B129,50.383270,-4.733500,138.100000,405.940500,1097.859521
B130,50.381710,-4.733490,165.600000,406.664280,924.287581
B131,50.373620,-4.722780,126.500000,1167.775355,24.274720
B132,50.372630,-4.720600,152.900000,1322.711490,-85.840174
B135T,50.377950,-4.712450,152.000000,1901.641693,506.260699
B138T,50.376470,-4.714760,146.100000,1737.564410,341.533516
C101T,50.373530,-4.731840,172.300000,523.981792,14.158081
C104T,50.373530,-4.731810,169.700000,526.113580,14.158292
C107,50.374220,-4.730000,163.500000,654.721109,90.944789
C108S,50.373570,-4.729030,161.190000,723.657363,18.632172
C109S,50.373090,-4.729940,154.890000,659.000241,-34.782984
C110,50.372080,-4.727900,149.090000,803.979298,-147.139562
C111,50.371520,-4.727410,144.090000,838.809208,-209.441977
C112T,50.369170,-4.726920,129.000000,873.672804,-470.906604
C115,50.368710,-4.729340,184.490000,701.700719,-522.113601
C116,50.370210,-4.730430,162.300000,624.218736,-355.227402
C117,50.371150,-4.731790,161.000000,527.561138,-250.649809
C118,50.371910,-4.731600,159.290000,541.054411,-166.087839
