249204
9778 1024
0 352 -7.092008     
0 384 -14.999986    
0 416 -0.464531     
0 417 -14.534238    
0 449 -8.079441     
0 450 -6.920545     
0 482 -14.999986    
0 514 -0.694365     
0 515 -14.305621    
0 547 -8.308059     
0 548 -6.691927     
0 580 -14.999986    
0 612 -0.921766     
1 352 -7.382217     
1 320 -14.004865    
1 288 -6.259889     
1 289 -7.744976     
1 257 -14.006175    
1 225 -5.966539     
1 226 -8.038326     
1 194 -14.004865    
1 162 -5.673188     
1 163 -8.331677     
1 131 -14.004865    
1 99 -5.381147     
1 100 -8.623718     
2 352 -6.807047     
2 320 -12.914218    
2 288 -12.914218    
2 256 -12.914218    
2 224 -4.091581     
2 225 -8.821323     
2 193 -12.914218    
2 161 -12.914218    
2 129 -12.914218    
2 97 -2.203361     
2 98 -10.710856    
2 66 -12.914218    
3 352 -9.007092     
3 320 -9.281313     
3 321 -7.803686     
3 289 -10.532181    
3 290 -6.553873     
3 258 -11.781994    
3 259 -5.304059     
3 227 -13.031807    
3 228 -4.054246     
3 196 -14.280566    
3 197 -2.805488     
4 352 -7.321739     
4 320 -13.889481    
4 288 -7.390003     
4 289 -6.498444     
4 257 -13.889481    
4 225 -8.285698     
4 226 -5.603784     
4 194 -13.889481    
4 162 -9.179324     
4 163 -4.710157     
5 352 -6.020021     
5 384 -12.734004    
5 416 -12.732692    
5 448 -12.734004    
5 480 -12.732692    
5 512 -8.474468     
5 513 -4.259535     
5 545 -12.732692    
5 577 -12.734004    
5 609 -12.732692    
5 641 -12.734004    
5 673 -10.401557    
6 352 -5.991286     
6 384 -12.674775    
6 416 -12.672645    
6 448 -12.674775    
6 480 -12.674775    
6 512 -12.672645    
6 544 -6.146765     
6 545 -6.528010     
6 577 -12.674775    
6 609 -12.672645    
6 641 -12.674775    
6 673 -12.672645    
6 705 -12.674775    
6 737 -5.799599     
6 738 -6.875176     
6 770 -12.672645    
6 802 -12.674775    
6 834 -12.674775    
6 866 -12.672645    
7 352 -5.966148     
7 384 -12.620471    
7 416 -12.620471    
7 448 -12.619293    
7 480 -12.620471    
7 512 -12.620471    
7 544 -12.619293    
7 576 -8.923887     
7 577 -3.696584     
7 609 -12.619293    
8 352 -6.180346     
8 384 -13.071076    
8 416 -13.072368    
8 448 -10.303159    
8 449 -2.767917     
8 481 -13.072368    
8 513 -13.071076    
8 545 -13.072368    
8 577 -0.750424     
8 578 -12.320652    
8 610 -13.072368    
8 642 -13.071076    
8 674 -4.271349     
9 352 -5.939641     
9 384 -12.564381    
9 416 -12.564381    
9 448 -12.564381    
9 480 -12.564381    
9 512 -12.564381    
9 544 -12.564381    
9 576 -12.564381    
9 608 -12.564381    
9 640 -12.564381    
9 672 -4.396979     
9 673 -8.167401     
9 705 -12.564381    
9 737 -12.562799    
10 352 -6.705774     
10 320 -12.722917    
10 288 -12.721903    
10 256 -12.722917    
