249204
9778 1024
0 129 -12.7219030000
0 161 -12.7229170000
0 192  -9.4034990000
0 193  -3.3184050000
0 224 -12.7219030000
0 256 -12.7229170000
0 288 -12.7219030000
0 320 -12.7229170000
0 352  -6.7057740000
1 99  -5.3811470000
1 100  -8.6237180000
1 131 -14.0048650000
1 162  -5.6731880000
1 163  -8.3316770000
1 194 -14.0048650000
1 225  -5.9665390000
1 226  -8.0383260000
1 257 -14.0061750000
1 288  -6.2598890000
1 289  -7.7449760000
1 320 -14.0048650000
1 352  -7.3822170000
2 66 -12.9142180000
2 97  -2.2033610000
2 98 -10.7108560000
2 129 -12.9142180000
2 161 -12.9142180000
2 193 -12.9142180000
2 224  -4.0915810000
2 225  -8.8213230000
2 256 -12.9142180000
2 288 -12.9142180000
2 320 -12.9142180000
2 352  -6.8070470000
3 196 -14.2805660000
3 197  -2.8054880000
3 227 -13.0318070000
3 228  -4.0542460000
3 258 -11.7819940000
3 259  -5.3040590000
3 289 -10.5321810000
3 290  -6.5538730000
3 320  -9.2813130000
3 321  -7.8036860000
3 352  -9.0070920000
4 162  -9.1793240000
4 163  -4.7101570000
4 194 -13.8894810000
4 225  -8.2856980000
4 226  -5.6037840000
4 257 -13.8894810000
4 288  -7.3900030000
4 289  -6.4984440000
4 320 -13.8894810000
4 352  -7.3217390000
5 352  -6.0200210000
5 384 -12.7340040000
5 416 -12.7326920000
5 448 -12.7340040000
5 480 -12.7326920000
5 512  -8.4744680000
5 513  -4.2595350000
5 545 -12.7326920000
5 577 -12.7340040000
5 609 -12.7326920000
5 641 -12.7340040000
5 673 -10.4015570000
6 352  -5.9912860000
6 384 -12.6747750000
6 416 -12.6726450000
6 448 -12.6747750000
6 480 -12.6747750000
6 512 -12.6726450000
6 544  -6.1467650000
6 545  -6.5280100000
6 577 -12.6747750000
6 609 -12.6726450000
6 641 -12.6747750000
6 673 -12.6726450000
6 705 -12.6747750000
6 737  -5.7995990000
6 738  -6.8751760000
6 770 -12.6726450000
6 802 -12.6747750000
6 834 -12.6747750000
6 866 -12.6726450000
7 352  -5.9661480000
7 384 -12.6204710000
7 416 -12.6204710000
7 448 -12.6192930000
7 480 -12.6204710000
7 512 -12.6204710000
7 544 -12.6192930000
7 576  -8.9238870000
7 577  -3.6965840000
7 609 -12.6192930000
8 352  -6.1803460000
8 384 -13.0710760000
8 416 -13.0723680000
8 448 -10.3031590000
8 449  -2.7679170000
8 481 -13.0723680000
8 513 -13.0710760000
8 545 -13.0723680000
8 577  -0.7504240000
8 578 -12.3206520000
8 610 -13.0723680000
8 642 -13.0710760000
8 674  -4.2713490000
9 352  -5.9396410000
9 384 -12.5643810000
9 416 -12.5643810000
9 448 -12.5643810000
9 480 -12.5643810000
9 512 -12.5643810000
9 544 -12.5643810000
9 576 -12.5643810000
9 608 -12.5643810000
9 640 -12.5643810000
9 672  -4.3969790000
9 673  -8.1674010000
9 705 -12.5643810000
9 737 -12.5627990000
10 352  -7.0920080000
10 384 -14.9999860000
10 416  -0.4645310000
10 417 -14.5342380000
10 449  -8.0794410000
10 450  -6.9205450000
10 482 -14.9999860000
10 514  -0.6943650000
10 515 -14.3056210000
10 547  -8.3080590000
10 548  -6.6919270000
10 580 -14.9999860000
10 612  -0.9217660000
11 352  -6.1824230000
11 384 -13.0750830000
11 416 -13.0766140000
11 448 -10.1499500000
11 449  -2.9251330000
11 481 -13.0766140000
11 513 -13.0750830000
11 545 -13.0750830000
11 577  -0.4393060000
11 578 -12.6373080000
11 610 -13.0750830000
11 642 -13.0766140000
11 674  -3.8022130000
11 675  -9.2728700000
11 707 -13.0766140000
12 352  -6.3227800000
12 384 -13.3729140000
12 416 -13.3746460000
12 448  -2.0019540000
12 449 -11.3709600000
12 481 -13.3746460000
12 513 -10.4150100000
12 514  -2.9579040000
12 546 -13.3729140000
12 578 -13.3746460000
12 610  -5.4551520000
12 611  -7.9177630000
12 643 -13.3746460000
12 675 -13.3729140000
12 707  -0.4970250000
12 708 -12.8776210000
12 740 -13.3729140000
13 352  -6.1358440000
13 384 -12.9816040000
13 416 -12.9795920000
13 448 -12.9795920000
13 480  -1.1885560000
13 481 -11.7930480000
13 513 -12.9795920000
13 545 -12.9795920000
13 577  -8.6316100000
13 578  -4.3499940000
13 610 -12.9795920000
13 642 -12.9795920000
13 674 -12.9816040000
13 706  -3.0910500000
13 707  -9.8885430000
13 739 -12.9795920000
13 771 -12.9816040000
13 803 -10.5341040000
13 804  -2.4454890000
13 836 -12.9795920000
14 352  -6.5077520000
14 384 -13.7648990000
14 416  -9.5067760000
14 417  -4.2566790000
14 449 -13.7648990000
14 481 -11.8329330000
14 482  -1.9319660000
14 514 -13.7648990000
14 546 -13.7648990000
14 578  -0.3927470000
14 579 -13.3707080000
14 611 -13.7648990000
14 643  -2.7203470000
14 644 -11.0445520000
14 676 -13.7648990000
15 352  -6.1216500000
15 384 -12.9526090000
15 416 -12.9526090000
15 448 -12.9526090000
15 480  -2.6290710000
15 481 -10.3235380000
15 513 -12.9500390000
15 545 -12.9526090000
15 577 -11.5031500000
15 578  -1.4494590000
15 610 -12.9526090000
15 642 -12.9526090000
15 674 -12.9500390000
15 706  -7.4246200000
15 707  -5.5279880000
15 739 -12.9526090000
15 771 -12.9526090000
15 803 -12.9526090000
15 835  -3.3435210000
