249204
1024 9778
32 141  -3.9919910000
32 260  -3.5701700000
32 374  -3.6112290000
32 501  -3.6665730000
32 872  -4.1705280000
32 1125  -3.5599420000
32 1626  -3.8458250000
32 1627  -3.5518220000
32 1628  -3.5561900000
32 1629  -3.5702340000
32 1630  -3.6681760000
32 1631  -3.5778890000
32 1632  -3.5635140000
32 1633  -3.7229020000
32 1634  -3.6073930000
32 1635  -3.5823750000
32 1636  -3.5993860000
32 1637  -3.6212320000
32 1638  -3.5868730000
32 1639  -3.6508870000
32 1640  -3.6165730000
32 1641  -3.5703730000
32 1642  -3.5589360000
32 1643  -3.5712200000
32 1644  -3.5553720000
32 1645  -3.6157350000
32 1646  -3.5493310000
32 1647  -3.6352020000
32 1648  -3.5945260000
32 1649  -3.5613930000
32 1650  -3.6221270000
32 1651  -3.6114640000
32 1652  -3.5677240000
32 1653  -3.5555740000
32 1654  -3.5706860000
32 1655  -3.6038430000
32 1656  -3.5467720000
32 1657  -3.6028170000
32 1658  -3.6623120000
32 1659  -3.7168300000
32 1660  -3.6503550000
32 1661  -3.5470220000
32 1662  -3.6629020000
32 1663  -3.6047080000
32 1664  -3.7296180000
32 1665  -3.6475890000
32 1666  -3.6352090000
32 1667  -3.8579430000
32 1668  -3.6851840000
32 1669  -3.9701960000
32 1670  -3.8454620000
32 1671  -3.8010160000
32 1672  -3.7181280000
32 1673  -3.9708640000
32 1674  -4.0023010000
32 1675  -4.1225020000
32 1676  -3.6816300000
32 1677  -3.8937430000
32 1678  -4.0588930000
32 1679  -3.8187090000
32 1680  -3.7498720000
32 1681  -3.9774220000
32 1682  -3.6971210000
32 1683  -3.7845550000
32 1684  -3.9148610000
32 1685  -3.7411040000
32 1686  -3.7843240000
32 1687  -3.6538460000
32 1688  -3.6679600000
32 1689  -4.0779980000
32 1690  -3.9106360000
32 1691  -3.7594160000
32 1692  -3.5513040000
32 1693  -3.9628750000
32 1694  -3.9056710000
32 1695  -3.8554000000
32 1696  -4.0575010000
32 1697  -5.8313790000
32 1698  -5.8224140000
32 1699  -5.8490690000
32 1700  -5.8447710000
32 1701  -5.8509170000
32 1702  -5.8203500000
32 1703  -5.8309710000
32 1704  -5.8196280000
32 1705  -4.2360290000
32 1706  -5.0945170000
32 1707  -5.1544900000
32 1708  -4.6379870000
32 1709  -4.4644790000
32 1710  -4.0914250000
32 1711  -4.7938340000
32 1712  -4.2033680000
32 1713  -4.8248660000
32 1714  -5.0801480000
32 1715  -4.4556860000
32 1716  -4.2399560000
32 1717  -5.3552110000
32 1718  -4.9775860000
32 1719  -5.5941130000
32 1720  -4.7283320000
32 1721  -4.3293940000
32 1722  -5.3705810000
32 1723  -5.6619740000
32 1724  -4.2306200000
32 1725  -5.8246870000
32 1726  -4.8451520000
32 1727  -4.5684000000
32 1728  -4.6514860000
32 1729  -4.6527530000
32 1730  -5.0742500000
32 1731  -4.2956740000
32 1732  -4.0386640000
32 1733  -4.2967090000
32 1734  -6.7350030000
32 1735  -5.0250530000
32 1736  -3.7800930000
32 1737  -5.8091490000
32 1738  -3.9562370000
32 1739  -3.7905000000
32 1740  -3.9585200000
32 1741  -5.7988050000
32 1742  -4.4133670000
32 1743  -4.5660700000
32 1744  -4.9350630000
32 1745  -3.9847340000
32 1746  -6.6278860000
32 1747  -6.5444480000
32 1748  -5.0075460000
32 1749  -4.2348010000
32 1750  -6.6054490000
32 1751  -4.6855270000
32 1752  -4.0521550000
32 1753  -5.1198490000
32 1754  -5.2493560000
32 1755  -4.1198480000
32 1756  -4.5750720000
33 1697 -12.5379930000
33 1698 -12.5219010000
33 1699 -12.5808800000
33 1700 -12.5590750000
33 1701 -12.5772490000
33 1702 -12.5150840000
33 1703 -12.5323460000
33 1704 -12.5163350000
33 1747  -1.1765960000
34 140  -8.3806530000
34 499  -8.0473550000
34 871  -8.4303530000
34 1369  -8.2611240000
34 1372  -8.0985000000
34 1374  -8.1337270000
34 1375  -8.0463250000
34 1377  -8.0270790000
34 1379  -8.0527870000
34 1380  -8.0423900000
34 1381  -8.0665890000
34 1382  -8.0691600000
34 1383  -8.0207440000
